name	upstream	ref	upstream_path	local_path	local_sha256	license	note
neda	https://github.com/malabi/gdml-files.git	896078961e110e51151409fd0581ab99c6c61d6a	AGATA/NEDA/neda_top.gdml	neda.gdml	e169859773b585a21998980353ce5e520456b40e6301a7b632931463b983ee45	NOASSERTION	upstream publishes no licence
iaxo-d1	https://github.com/iaxo/iaxo-geometry.git	079aa389f7146e92d81389a2e1d7580c167f3b39	gdml/IAXO-D1/Default.gdml	iaxo-d1.gdml	d9cff79d0b3a0c682c5d7345e83cd435884a112cb98a5910eca049a09846a082	NOASSERTION	upstream publishes no licence
charge-exchange	https://github.com/Geant4/geant4.git	v11.4.2	examples/advanced/ChargeExchangeMC/lht.gdml	charge-exchange.gdml	a73c480f26f25b89a926cecd401aa3a75d5c9b568d84b95f65ebdcccfafe50b9	Geant4-Software-License-1.0	copied
cats-lartpc	https://github.com/Geant4/geant4.git	v11.4.2	examples/advanced/CaTS/gdml/LArTPC.gdml	cats-lartpc.gdml	01e689c3c739f4410e427ec0ea9858a95d40113a7e8a6f306f6fd60bea82b358	Geant4-Software-License-1.0	copied; schema validation intentionally disabled
atf2	https://github.com/g4edge/testdata.git	4b0f21f0626d375ae725e57accda30e85ee29be5	data/gdml/CompoundExamples/ATF2/atf2.gdml	atf2.gdml	6cbfd06e205e5b632471f07477825fcf1fab544215767c817bfa08f519db73a9	GPL-3.0	copied standalone
agata-honeycomb	https://github.com/malabi/gdml-files.git	896078961e110e51151409fd0581ab99c6c61d6a	AGATA/HoneyComb/HoneyComb.gdml	agata-honeycomb.gdml	245db5a01cf87bb1410b0055e6ca03fc5e7c56e07eff99aa83ba1fdd158dafab	NOASSERTION	requires sibling materials entity; upstream publishes no licence
agata-materials	https://github.com/malabi/gdml-files.git	896078961e110e51151409fd0581ab99c6c61d6a	AGATA/HoneyComb/AGATAS_materials.xml	AGATAS_materials.xml	d5c15d071d89e5a36942a8b889b7861207aa76ee0175011654c233de0a1f71a1	NOASSERTION	required by agata-honeycomb; upstream publishes no licence
czt-pinhole-camera	https://github.com/davsar89/GDML_Studio.git	04c10dc02ae492511d674f5a23745794e79ae2fc	sample_data/pinhole_lab.gdml	czt-pinhole-camera.gdml	24f67baafb729fa0187b919e02f0d0f28f5f0e50356489774541136112b69bbd	NOASSERTION	schema validation disabled; upstream publishes no licence
epic-pfrich	https://github.com/BNLNPPS/simphony.git	4f6f0213d3d5f76d851b02c4f400751269720739	tests/geom/pfrich_min_FINAL.gdml	epic-pfrich.gdml	a7d322311ac7893b20e130bc4632daea8a4d1203caf33da950083ec7e34e3d17	Apache-2.0	copied standalone minimal geometry
blm	https://github.com/g4edge/testdata.git	0e0dd354bcefdb08bdb430c92b0b7458b9154bdc	data/gdml/blm_model_colours.gdml	blm_model_colours.gdml	8fdb8746fe73f9bdc8ddf3324120cb6c27c271f92e8553b5b81c511cb4c1b4e6	GPL-3.0	copied standalone
athena-silicon-pore	https://github.com/Geant4/geant4.git	f3d5293d384757b8a228a099898b2b87cfa4023c	examples/advanced/xray_SiliconPoreOptics/pores.gdml	athena-silicon-pore.gdml	76580d998b80b9fedbca6e5b7ac9552dbc643dcab5ff2eb4d1ef83d624fd9ba7	Geant4-Software-License-1.0	copied standalone; eight silicon wedge placements
solids-zoo	https://github.com/Geant4/geant4.git	e58e650b32b961c8093f3dd6a2c3bc917b2552be	examples/extended/persistency/gdml/G01/solids.gdml	solids.gdml	f8ad7e5268fe8119a95656a80ea86f341098806c1f526a123bea991695f2e9ec	Geant4-Software-License-1.0	copied standalone
polar-rotor	https://github.com/KeithSloan/GDML.git	7ce628fe813314dfe051c5209f3111af5ad382ca	SampleFiles/ArrayTests-2023/polarArray-7-worldVOL.gdml	polar-rotor.gdml	529c1b0c4e4794bdac34d464a173830359fb2a3251add3983dc6c7d5cd68b47e	NOASSERTION	multiUnion geometry; upstream publishes no licence
